Text,Label
Res: sila touched me without consent!,harassment
Sinakal nila ako habang naglalakad! Please come fast!,harassment
"Nakakaba, they are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me!,harassment
Res: Pinapapel na nila ako sa school!,harassment
Someone keeps following me! Please come fast!,harassment
Res: May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
sila touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, they are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me! Please come fast!,harassment
Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages! Please come fast!,harassment
Res: May taong inaasar ako palagi!,harassment
Res: They touched me without consent! Please come fast!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, sila are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school! Please come fast!,harassment
Someone keeps following me!,harassment
Res: May nangingialam sa personal ko! Please come fast!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi! Please come fast!,harassment
sila touched me without consent! Please come fast!,harassment
Res: Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, they are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
Res: Someone keeps following me!,harassment
Res: May nangingialam sa personal ko!,harassment
He keeps texting dirty messages! Please come fast!,harassment
Res: May taong inaasar ako palagi!,harassment
Res: They touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, sila are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
Res: Someone keeps following me!,harassment
May nangingialam sa personal ko! Please come fast!,harassment
Res: He keeps texting dirty messages! Please come fast!,harassment
May taong inaasar ako palagi!,harassment
Res: They touched me without consent!,harassment
Res: Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, sila are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school! Please come fast!,harassment
may isang tao keeps following me! Please come fast!,harassment
May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
Res: May taong inaasar ako palagi!,harassment
They touched me without consent!,harassment
Res: Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, they are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
Res: May nangingialam sa personal ko! Please come fast!,harassment
Res: He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
They touched me without consent! Please come fast!,harassment
Res: Sinakal nila ako habang naglalakad! Please come fast!,harassment
"Nakakaba, sila are staring and whistling at me!",harassment
Res: This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school! Please come fast!,harassment
Someone keeps following me! Please come fast!,harassment
May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
sila touched me without consent!,harassment
Sinakal nila ako habang naglalakad! Please come fast!,harassment
"Nakakaba, they are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school! Please come fast!,harassment
Someone keeps following me! Please come fast!,harassment
Res: May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
They touched me without consent!,harassment
Sinakal nila ako habang naglalakad! Please come fast!,harassment
"Nakakaba, sila are staring and whistling at me!",harassment
This person won't stop harassing me! Please come fast!,harassment
Pinapapel na nila ako sa school!,harassment
may isang tao keeps following me!,harassment
Res: May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages! Please come fast!,harassment
May taong inaasar ako palagi!,harassment
They touched me without consent! Please come fast!,harassment
Sinakal nila ako habang naglalakad! Please come fast!,harassment
"Nakakaba, they are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Res: Pinapapel na nila ako sa school!,harassment
Someone keeps following me! Please come fast!,harassment
Res: May nangingialam sa personal ko!,harassment
He keeps texting dirty messages! Please come fast!,harassment
May taong inaasar ako palagi!,harassment
Res: sila touched me without consent! Please come fast!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, they are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school! Please come fast!,harassment
may isang tao keeps following me!,harassment
May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
Res: May taong inaasar ako palagi!,harassment
Res: They touched me without consent!,harassment
Res: Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, they are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
Res: May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
sila touched me without consent!,harassment
Res: Sinakal nila ako habang naglalakad! Please come fast!,harassment
"Res: Nakakaba, sila are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school! Please come fast!,harassment
Someone keeps following me!,harassment
May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
They touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, sila are staring and whistling at me!",harassment
This person won't stop harassing me! Please come fast!,harassment
Pinapapel na nila ako sa school!,harassment
Res: Someone keeps following me!,harassment
May nangingialam sa personal ko! Please come fast!,harassment
Res: He keeps texting dirty messages! Please come fast!,harassment
May taong inaasar ako palagi!,harassment
sila touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, sila are staring and whistling at me!",harassment
Res: This person won't stop harassing me! Please come fast!,harassment
Res: Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
May nangingialam sa personal ko! Please come fast!,harassment
Res: He keeps texting dirty messages!,harassment
Res: May taong inaasar ako palagi!,harassment
Res: They touched me without consent!,harassment
Res: Sinakal nila ako habang naglalakad!,harassment
"Res: Nakakaba, sila are staring and whistling at me! Please come fast!",harassment
Res: This person won't stop harassing me!,harassment
Res: Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
Res: May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
sila touched me without consent!,harassment
Sinakal nila ako habang naglalakad! Please come fast!,harassment
"Nakakaba, they are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me!,harassment
Res: Pinapapel na nila ako sa school!,harassment
Someone keeps following me! Please come fast!,harassment
May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages!,harassment
Res: May taong inaasar ako palagi!,harassment
sila touched me without consent! Please come fast!,harassment
Sinakal nila ako habang naglalakad! Please come fast!,harassment
"Nakakaba, sila are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
Res: Someone keeps following me!,harassment
Res: May nangingialam sa personal ko! Please come fast!,harassment
Res: He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
Res: They touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Res: Nakakaba, sila are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
Someone keeps following me! Please come fast!,harassment
May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
They touched me without consent! Please come fast!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, they are staring and whistling at me! Please come fast!",harassment
Res: This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school! Please come fast!,harassment
Res: may isang tao keeps following me!,harassment
May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages!,harassment
May lalaki na sumisigaw ng bastos sa akin!,harassment
Res: Someone just grabbed my arm!,harassment
Tumutulong po! may humahabol sa akin!,harassment
Please send help, stalker outside my house!,harassment
May humihipo sa akin sa jeep!,harassment
Res: He’s been staring at me for 10 minutes!,harassment
May lalaking sumusunod mula pa sa kanto!,harassment
Somebody shouting obscene words at me!,harassment
Hindi ko kilala, pero binabastos ako!,harassment
Res: He touched my waist without consent!,harassment
May nagpipictorial sa akin nang walang pahintulot!,harassment
Res: May babae sumisigaw sa akin sa labas!,harassment
This man keeps calling me nasty names!,harassment
May kumakalabit sa akin sa bus!,harassment
Help! someone catcalling me in the street!,harassment
Res: May humaharang sa dinadaanan ko!,harassment
He keeps knocking on my door and shouting!,harassment
Res: Nahihipo ako sa pila ng tren!,harassment
May humahawak sa balikat ko kahit di kami close!,harassment
Someone tried to kiss me forcefully!,harassment
Res: May sumusunod habang umuuwi ako!,harassment
This guy blocking my way on purpose!,harassment
Res: Someone took pictures under my skirt!,harassment
May tumatawag sa akin ng bastos kahit hindi kilala!,harassment
Res: He cornered me near the restroom!,harassment
May lalaking sumisigaw ng bastos sa bintana ko!,harassment
Res: May nagbubulong ng malaswang salita!,harassment
Please send help, siya nakaharang sa gate!,harassment
May nagpapadala ng bastos na litrato sa phone ko!,harassment
Res: Someone outside yelling my name in anger!,harassment
May nang-aasar sa akin sa tindahan!,harassment
He’s whistling every time I pass by!,harassment
May nagta-try maghawak sa kamay ko!,harassment
Res: Someone keeps following me sa parking!,harassment
May nagpapadala ng threats sa messenger ko!,harassment
This man shouted "sexy" at me and followed!,harassment
Res: Nahaharang ako ng isang grupo sa daan!,harassment
May nanghaharass habang nasa pila ako!,harassment
Somebody keeps taking my photo without consent!,harassment
Res: May tumatawag ng pangalan ko in a creepy way!,harassment
He keeps brushing against me in the crowd!,harassment
Res: May sumisigaw ng malalaswang salita!,harassment
May lalaki sa kanto na sumisipol at sumusunod!,harassment
Res: This person waiting outside my office!,harassment
Please help, may humahawak sa bag ko!,harassment
Res: Nahaharass ako sa chat group!,harassment
This man pretending to trip just to touch me!,harassment
May lalaking sumusunod sa jeep at bumaba rin!,harassment
Res: Someone shouted threats at me!,harassment
May nagpipilit makausap ako kahit ayaw ko!,harassment
This stranger keeps winking and touching!,harassment
May gumagalaw sa damit ko habang nakapila!,harassment
Res: May sumisilip sa bintana ko!,harassment
He keeps making obscene gestures!,harassment
May nagbubulong ng bastos sa tenga ko!,harassment
This guy blocking my way to the elevator!,harassment
Res: May sumisigaw ng pangalan ko sa kalsada!,harassment
Please help, may nanggugulo sa bahay ko!,harassment
Res: Nahaharass ako sa bus station!,harassment
May naglalakad nang sobrang lapit sa likod ko!,harassment
He keeps calling my number over and over!,harassment
Res: Someone followed me into the restroom!,harassment
May nagsisigaw ng “Hoy sexy” habang dumadaan ako!,harassment
This man sending me unwanted flowers!,harassment
Res: May sumisigaw sa akin sa loob ng jeep!,harassment
Please help, may humahabol sa akin sa eskinita!,harassment
Res: Nahaharass ako ng kapitbahay ko!,harassment
May gumagapang sa likod ko sa pila!,harassment
He keeps sending voice messages na bastos!,harassment
Res: May kumakalabit sa balikat ko!,harassment
Someone whistling every time I move!,harassment
May lalaking sumusunod habang nasa tricycle!,harassment
Res: Nahaharang ako sa pintuan!,harassment
May sumisigaw ng bastos habang nasa tindahan ako!,harassment
Please help, may humaharang sa gate ng bahay!,harassment
Res: May sumusunod na hindi ko kilala!,harassment
Someone keeps staring and smiling creepily!,harassment
May humahawak sa buhok ko!,harassment
Res: He’s whispering dirty things to me!,harassment
May lalaking sumusunod kahit saan ako pumunta!,harassment
Please send help, someone trying to corner me!,harassment
Res: May sumisigaw ng malaswa sa labas ng bahay!,harassment
This man pretending to help but touching me!,harassment
May sumisigaw ng threats habang naglalakad ako!,harassment
Res: Someone pushing me against the wall!,harassment
May humaharang habang may hawak na bote!,harassment
Please help, may lalaking sumisigaw ng bastos!,harassment
Res: Someone waiting outside my classroom!,harassment
May nagpapadala ng bastos na comments sa post ko!,harassment
He’s stalking me on social media!,harassment
May sumisigaw ng pangalan ko na bastos ang tono!,harassment
Res: Nahaharass ako habang naglalakad sa kalsada!,harassment
This guy took my picture without permission!,harassment
Res: May sumusunod na lalaki sa likod ko!,harassment
May lalaking sumusunod sa bus stop!,harassment
Please send help, may humaharang sa daan ko!,harassment
Res: Someone whispering obscene words to me!,harassment
May humahawak sa balikat ko sa MRT!,harassment
Res: This person keeps sending harassing texts!,harassment
May nagbabantang kakantutin ako!,harassment
Res: This guy said he will rape me!,harassment
Help! someone trying to kantot me!,harassment
May humihipo sa suso ko sa jeep!,harassment
Res: May lalaki nagpapakita ng ari niya!,harassment
This man keeps saying he wants to fuck me!,harassment
May sumisigaw ng “puta ka” sa akin!,harassment
Res: Someone grabbed my butt without consent!,harassment
He’s trying to force me to have sex!,harassment
May nagmumura at nagbabanta ng rape!,harassment
Res: Nahipo ako sa pwet habang nakapila!,harassment
May lalaking nagpapakita ng bastos na videos!,harassment
He keeps saying “kantot tayo”!,harassment
Res: Someone sending me nude pics without consent!,harassment
May lalaking sumusunod na sinasabi rape!,harassment
Help! may nagbubulong ng bastos sa tenga ko!,harassment
Res: He’s holding my waist tightly!,harassment
May sumisigaw ng “gusto kita kantutin” sa kalsada!,harassment
Res: This guy won’t stop touching my thigh!,harassment
May nagtatangkang halikan ako!,harassment
Res: May lalaking sumisigaw ng malaswa!,harassment
Please send help, someone asking for sex!,harassment
May nagpo-post ng bastos na pics ko online!,harassment
Res: He sent me threats about raping me!,harassment
May sumusunod sa akin at sinisigaw “kantot!”,harassment
Res: This guy trying to grope my chest!,harassment
May lalaking nagsasabing hubaran ako!,harassment
Res: Someone following me whispering “fuck you!”,harassment
Help! may humahawak sa puwet ko sa MRT!,harassment
May lalaking naglalabas ng titi sa harap ko!,harassment
Res: He keeps saying “sex tayo ngayon!”,harassment
May nagpapadala ng bastos na mensahe sa text!,harassment
Res: May lalaki nagpapakita ng porn sa phone!,harassment
May sumusunod at pinipilit mag motel kami!,harassment
Res: Nahipuan ako sa legs sa jeep!,harassment
He keeps asking if I want to fuck!,harassment
May nagbubulong ng malaswa sa bus!,harassment
Res: Someone touching me sa siksikan!,harassment
May humahawak sa suso ko!,harassment
Res: This guy forcing me to kiss him!,harassment
Help! someone telling me to spread my legs!,harassment
May nagpapadala ng sex video sa messenger!,harassment
Res: Nahipuan ako habang naglalakad!,harassment
He keeps saying “puta ka” while staring!,harassment
May nagbabanta ng rape sa akin sa text!,harassment
Res: Someone keeps calling me “slut”!,harassment
May humihipo sa legs ko sa jeep!,harassment
Res: This man touching my ass repeatedly!,harassment
May sumusunod at sinasabing fuck me!,harassment
Res: Someone outside shouting “rape her!”,harassment
Help! may naglalabas ng ari sa harap ko!,harassment
Res: May nagpapadala ng bastos na emojis!,harassment
May nagpapadala ng dick pic sa phone ko!,harassment
Res: Someone saying “kantutin kita ngayon!”,harassment
May sumusunod habang minumura ako!,harassment
Res: This man sending porn links!,harassment
May sumisigaw ng “hubad ka nga!” sa kalsada!,harassment
Res: Nahipuan ako sa balikat pababa sa suso!,harassment
May humahawak sa pwet ko sa tren!,harassment
Res: Someone forcing me to dance sexy!,harassment
May nagpapakita ng titi sa park!,harassment
Res: This guy asking to see my boobs!,harassment
Help! may nanghihipo sa likod ko!,harassment
May sumusunod at sinisigaw “puta!”!,harassment
Res: Someone trying to lift my skirt!,harassment
May naglalabas ng ari sa jeep!,harassment
Res: Nahipuan ako sa gilid ng katawan!,harassment
May nagpapadala ng “kantot” messages!,harassment
Res: Someone keeps asking to have sex!,harassment
May humahawak sa balakang ko!,harassment
Res: This guy grinding against me!,harassment
May nagbabanta sa akin ng gang rape!,harassment
Res: Nahipuan ako sa tricycle!,harassment
May nagpapadala ng voice note na bastos!,harassment
Res: Someone licking their lips at me!,harassment
May sumusunod at naglalabas ng ari!,harassment
Res: This guy asking me “mag motel tayo?”,harassment
May humaharang sa daan at nagsasabing sex!,harassment
Res: Someone sending me fuck messages!,harassment
May nagpapadala ng kantot na video!,harassment
Res: Nahipuan ako sa likod!,harassment
May sumisigaw ng “sex tayo” habang naglalakad!,harassment
Res: This guy asking to touch me!,harassment
Help! may humahawak sa dibdib ko!,harassment
May nagpipilit makipag sex sa akin!,harassment
Res: Someone keeps showing me porn!,harassment
May sumusunod na nagsasabing kantot ngayon!,harassment
Res: Nahipuan ako sa MRT!,harassment
May nagpapadala ng nude photos sa akin!,harassment
Res: This man trying to force sex!,harassment
May sumusunod habang sinisigaw rape!,harassment
Res: Someone pushing me to the wall for sex!,harassment
May humahawak sa balikat at suso ko!,harassment
Res: Nahipuan ako sa likod habang nakapila!,harassment
May nagpapadala ng bastos na meme sa akin!,harassment
Res: This guy said “hubaran kita ngayon!”,harassment
May sumusunod at nagmumura ng “puta ka!”,harassment
"Help! May humahipo sa akin sa jeep!",harassment
"Shit may manyakis sa bus, hinahawakan nya legs ko",harassment
"Naka uniform ako tapos sinipulan ako ng tambay, sabi kantutin daw nya ako",harassment
"May lasing dito sa kanto hinaharass ako, sumisigaw siya ng bastos",harassment
"Help --- I --- no --- stop touching --- me ---",harassment
"Sumigaw siya ng ‘gusto mo kantot?’ habang naglalakad ako sa eskinita",harassment
"May lalaki sa jeep nakalabas yung ari niya, tinitignan ako habang ngumunguya",harassment
"Fuck he’s grabbing my boobs in the crowd",harassment
"Sir tulungan nyo ako, may humahabol na manyak!",harassment
"Putangina hinawakan niya pwet ko sa mall",harassment
"HELP! Hindi ko siya kilala pero hinahatak niya braso ko",harassment
"May lalaking sumusunod sa akin, paulit-ulit sinasabi 'gusto kita kantutin'",harassment
"Huminto ako sa kanto, may nagflash ng titi",harassment
"Nasa jeep ako, bigla niyang pinasok kamay niya sa bag ko at tinamaan boobs ko",harassment
"Stop! fuck you wag mo ako hipuan",harassment
"May manyakis sa MRT, nakadikit titi niya sa likod ko",harassment
"HELP --- static --- hands --- me --- stop ---",harassment
"May dalawang tambay nagmumurang bastos , sabi titirahin daw nila ako",harassment
"Putangina may nag selfie habang nakalabas yung boobs ko",harassment
"Hey police! He’s following me and saying he will rape me",harassment
"May driver na ayaw ako palabasin sa tricycle, hawak kamay ko",harassment
"Sumisigaw siya ng 'sarap mo siguro' habang hawak titi niya",harassment
"Stop touching me you pervert!",harassment
"Help! May lalaki na nakalabas ang ari habang binabati",harassment
"May nagchat sa FB ng dick pic, unknown account",harassment
"Naka takip mukha niya, hinahatak niya ako sa madilim na eskinita",harassment
"Putangina gusto nya ako halikan kahit ayaw ko",harassment
"May estudyanteng lalaki na hinipuan ako sa hallway",harassment
"May lalaking nakatayo sa gilid ng school gate nakatitig sa suso ko",harassment
"STOP --- fuck --- don’t --- touch ---",harassment
"May nagpipictura sa jeep habang tulog ako",harassment
"Someone’s groping me in the crowd please help",harassment
"May lalaki na nakalapit , sinasabi sex daw kami",harassment
"Help me! May humahawak sa legs ko sa ilalim ng mesa",harassment
"Putangina may manyak sa likod ko sa jeep",harassment
"Nakapatong siya sa akin kahit pinapalayas ko",harassment
"May foreigner na biglang hinawakan balikat ko sa mall",harassment
"May nagpadala ng voice note na puro bastos",harassment
"STOP touching my ass motherfucker",harassment
"May lalaking nakasunod sa akin hanggang CR",harassment
"Help --- static --- no sex --- please ---",harassment
"May nagtangkang halikan ako sa jeep",harassment
"Naka akbay siya sa akin kahit di ko siya kilala",harassment
"Putangina may nagjajakol sa gilid ng kalsada",harassment
"May tambay sa tindahan na hinaharang ako para hawakan braso ko",harassment
"HELP! He’s forcing me to kiss him",harassment
"May nakapulupot sa bewang ko sa pila sa MRT",harassment
"Stop! Wag mo ako hipuan gago ka",harassment
"May lasing na nagsabi kakantutin daw niya ako mamaya",harassment
"HELP --- stop --- please --- no rape ---",harassment
"May estudyante na pinalo pwet ko sa hallway",harassment
"Putangina tinanggal niya bra strap ko sa jeep",harassment
"May matandang lalaki sa simbahan na hinihipo ako",harassment
"HELP! Naka kapit siya sa kamay ko ayaw bitawan",harassment
"May manyak na sumipol at nagbastos sakin habang naglalakad",harassment
"Fuck you don’t touch me bitch",harassment
"May nagpadala ng sex video na ayaw ko makita",harassment
"May nakatitig sakin habang hawak titi niya sa gilid ng kalsada",harassment
"HELP --- static --- help me rape ---",harassment
"May nagvideo sakin habang nakadapa ako sa jeep",harassment
"May lalaking sumusunod sa akin sa mall, bastos tingin",harassment
"May humawak ng hita ko sa bus",harassment
"Putangina may nagyaya ng sex kapalit ng trabaho",harassment
"May batang lalaki na sinasabi mga bastos sakin",harassment
"STOP! Wag mo ipasok kamay mo dyan",harassment
"May manyak na nagtatanong kung virgin pa ako",harassment
"HELP! May naglock ng pinto habang mag isa ako sa kwarto",harassment
"May lalaki na dumidikit sakin sa pila sa palengke",harassment
"Fuck he’s kissing me against my will",harassment
"May tumawag para bastusin ako sa phone",harassment
"May manyak sa tricycle, hawak kamay ko",harassment
"HELP --- no --- stop --- fuck ---",harassment
"May nag comment sa picture ko ng bastos",harassment
"May tambay na nagyaya ng sex sa kalye",harassment
"Putangina dinikit niya ari niya sa pwet ko sa jeep",harassment
"May nagrecord habang nagbibihis sa gym",harassment
"May lalaki na humatak sakin sa sulok",harassment
"STOP! Fuck off you creep",harassment
"May manyak sa eskinita, nakahubad",harassment
"May humawak ng balikat ko habang sinasabi bastos",harassment
"HELP --- static --- no touch --- please ---",harassment
"May sumitsit at nagbastos habang nakasakay ako sa bike",harassment
"Putangina gusto nya tanggalin blouse ko",harassment
"May nagpadala ng bastos na meme",harassment
"May manyak na sumusunod hanggang bahay",harassment
"HELP! He’s groping me!",harassment
"May lalaking sumasayad katawan niya sa akin sa MRT",harassment
"STOP touching me gago!",harassment
"May nagpaabot ng bastos na papel sa akin",harassment
"May sumipol at nagbastos habang kumakain ako",harassment
"HELP --- no --- rape --- please ---",harassment
"May tambay na tinanggal takip ng damit ko",harassment
"May manyak na nagjakol habang nakatingin sakin",harassment
"Putangina kinikiskis niya katawan niya sa likod ko",harassment
"May lalaki sa trabaho na lagi akong hinaharass",harassment
"HELP! Someone’s trying to kiss me",harassment
"May nagsabi sakin na titirahin daw ako",harassment
"STOP! Fuck you, leave me alone",harassment
"May humawak sa dibdib ko habang naglalakad",harassment
"HELP --- help --- no sex ---",harassment
"May nagblock sakin sa daan para bastusin ako",harassment
"Putangina gusto niya ako hilahin sa kotse",harassment
"May lalaki na humahabol sa akin... hingal... gusto akong rape-in... Help — I — Can't — Run",harassment
"Putang ina may manyak sa jeep... hawak na sa legs ko... please send help",harassment
"Help... sa kanto ng 7-11... may lalaking nag jakol sa harap ko",harassment
"Sir may nagbubulong ng bastos sakin sa bus... fuck... kinakabahan na ako",harassment
"May sumunod sakin hanggang CR... paulit ulit sinasabi kantutin daw ako",harassment
"Help—me—plz... lalaki sa likod... hinahawakan pwet ko",harassment
"Shit... may nanghihipo sa MRT... di ako makagalaw",harassment
"May lasing na humihipo sa akin habang nakapila... help",harassment
"Nakakatakot may nag send ng sex video sa messenger ngayon lang",harassment
"Kuya driver may lalaking nakaupo sa tabi ko... binubuka legs ko",harassment
"Help—me—now... naka jacket na lalaki... nag jakol sa gilid ng school gate",harassment
"May nagpapakita ng titi sakin sa footbridge... fuck",harassment
"May nagsabi sakin na kakantutin daw ako pag hindi ako sumama",harassment
"Sa may tricycle terminal... may matandang manyakis na humawak sa dibdib ko",harassment
